ano,identificacao,tipo,autoria,casa,data_apresentacao,situacao,virou_norma,tema,ementa,codigo_materia,url
2020,PL 13/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-06-26,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Outros,"Aperfeiçoa a política industrial para o setor de tecnologias da informação e comunicação e para o setor de semicondutores; adequa o prazo de concessão de incentivos e de estímulo à tecnologia nacional; cria o Programa Brasil Semicondutores (Brasil Semicon); e altera o Decreto-Lei nº 288, de 28 de fevereiro de 1967, e as Leis nºs 8.248, de 23 de outubro de 1991, 11.484, de 31 de maio de 2007, e 13.969, de 26 de dezembro de 2019.",164353,https://legis.senado.gov.br/sdleg-getter/documento?dm=9662700
2020,PL 270/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-07-08,TRANSFORMADA EM NORMA JURÍDICA,True,Educação,"Altera as Leis nºs 13.819, de 26 de abril de 2019, e 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para dispor sobre a notificação ao Conselho Tutelar, pelos estabelecimentos de ensino, dos casos de violência neles ocorridos, especialmente automutilação e suicídio.",164575,https://legis.senado.gov.br/sdleg-getter/documento?dm=9692464
2020,PL 3506/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-10-17,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,Institui o Dia da Conscientização sobre a Agenesia de Membros.,165839,https://legis.senado.gov.br/sdleg-getter/documento?dm=9828969
2020,PL 3149/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-11-11,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Outros,"Altera a Lei nº 13.576, de 26 de dezembro de 2017, que dispõe sobre a Política Nacional de Biocombustíveis (RenovaBio), para nela incluir os produtores independentes de matéria-prima destinada à produção de biocombustível; e altera a Lei nº 9.478, de 6 de agosto de 1997.",166093,https://legis.senado.gov.br/sdleg-getter/documento?dm=9839598
2020,PLP 143/2020,Projeto de Lei Complementar,Câmara dos Deputados,SF,2025-08-27,TRANSFORMADA EM NORMA JURÍDICA,True,Administração Pública,"Altera a Lei Complementar nº 173, de 27 de maio de 2020, para prever a autorização de pagamentos retroativos de anuênio, triênio, quinquênio, sexta-parte, licença-prêmio e demais mecanismos equivalentes a servidores públicos de entes federativos que decretaram estado de calamidade pública decorrente da pandemia da Covid-19.",170139,https://legis.senado.gov.br/sdleg-getter/documento?dm=10032405
2020,PL 265/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2025-11-04,APROVADO PARECER NA COMISSÃO,False,Saúde,"Altera a Lei nº 11.664, de 29 de abril de 2008, a fim de garantir o acesso a exames para detecção de variantes patogênicas associadas ao risco hereditário de câncer.",171472,https://legis.senado.gov.br/sdleg-getter/documento?dm=10095468
2020,PL 331/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2025-12-01,TRANSFORMADA EM NORMA JURÍDICA,True,Segurança e Justiça,Autoriza o Poder Executivo federal a doar aeronaves da Polícia Federal à República do Paraguai e da Marinha do Brasil à República Oriental do Uruguai.,171856,https://legis.senado.gov.br/sdleg-getter/documento?dm=10118193
2021,PEC 8/2021,Proposta de Emenda à Constituição,"Senador Oriovisto Guimarães (PODEMOS/PR), Senador Alvaro Dias (PODEMOS/PR), Senador Styvenson Valentim (PODEMOS/RN), Senador Esperidião Amin (PP/SC), Senador Eduardo Girão (PODEMOS/CE), Senador Jorginho Mello (PL/SC), Senador Flávio Arns (REDE/PR), Senadora Eliziane Gama (CIDADANIA/MA), Senador Marcos Rogério (DEM/RO), Senador Omar Aziz (PSD/AM), Senador Marcio Bittar (MDB/AC), Senador Reguffe (PODEMOS/DF), Senador Plínio Valério (PSDB/AM), Senador Carlos Viana (PSD/MG), Senador Tasso Jereissati (PSDB/CE), Senador Lasier Martins (PODEMOS/RS), Senador Lucas Barreto (PSD/AP), Senador Romário (PODEMOS/RJ), Senador Jorge Kajuru (CIDADANIA/GO), Senador Otto Alencar (PSD/BA), Senadora Soraya Thronicke (PSL/MS), Senador Elmano Férrer (PODEMOS/PI), Senador Zequinha Marinho (PSC/PA), Senador Eduardo Gomes (MDB/TO), Senador Alessandro Vieira (CIDADANIA/SE), Senador Nelsinho Trad (PSD/MS), Senador Roberto Rocha (PSDB/MA), Senadora Simone Tebet (MDB/MS), Senador Marcos do Val (PODEMOS/ES), Senadora Mara Gabrilli (PSDB/SP), Senador Weverton (PDT/MA), Senador Luis Carlos Heinze (PP/RS)",SF,2020-06-04,REMETIDA À CÂMARA DOS DEPUTADOS,False,Outros,"Altera a Constituição Federal para dispor sobre os pedidos de vista, declaração de inconstitucionalidade e concessão de medidas cautelares nos tribunais.",148030,https://legis.senado.gov.br/sdleg-getter/documento?dm=8118687
2021,PEC 13/2021,Proposta de Emenda à Constituição,"Senador Marcos Rogério (DEM/RO), Senador Rodrigo Pacheco (DEM/MG), Senador Oriovisto Guimarães (PODEMOS/PR), Senador Lasier Martins (PODEMOS/RS), Senador Roberto Rocha (PSDB/MA), Senador Esperidião Amin (PP/SC), Senador Otto Alencar (PSD/BA), Senador Antonio Anastasia (PSD/MG), Senadora Soraya Thronicke (PSL/MS), Senador Romário (PODEMOS/RJ), Senador Alvaro Dias (PODEMOS/PR), Senador Luis Carlos Heinze (PP/RS), Senador Luiz do Carmo (MDB/GO), Senador Vanderlan Cardoso (PSD/GO), Senadora Daniella Ribeiro (PP/PB), Senador Veneziano Vital do Rêgo (PSB/PB), Senadora Rose de Freitas (PODEMOS/ES), Senador Jorginho Mello (PL/SC), Senador Angelo Coronel (PSD/BA), Senadora Nilda Gondim (MDB/PB), Senador Dário Berger (MDB/SC), Senador Mecias de Jesus (REPUBLICANOS/RR), Senador Davi Alcolumbre (DEM/AP), Senador Lucas Barreto (PSD/AP), Senador Telmário Mota (PROS/RR), Senador Jayme Campos (DEM/MT), Senador Chico Rodrigues (DEM/RR)",SF,2020-11-06,TRANSFORMADA EM NORMA JURÍDICA,True,Tributário e Economia,"Acrescenta o art. 115 ao Ato das Disposições Constitucionais Transitórias, para determinar que os Estados o Distrito Federal e os Municípios, bem como seus agentes, não poderão ser responsabilizados pelo descumprimento, no exercício financeiro de 2020, do disposto no caput do art. 212 da Constituição Federal.",148543,https://legis.senado.gov.br/sdleg-getter/documento?dm=8905732
2021,PL 317/2021,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2020-12-28,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Outros,"Dispõe sobre princípios, regras e instrumentos para o Governo Digital e para o aumento da eficiência pública; altera as Leis nºs 7.116, de 29 de agosto de 1983, 13.460, de 26 de junho de 2017, 12.682, de 9 de julho de 2012, e 12.527, de 18 de novembro de 2011; e dá outras providências.",146368,https://legis.senado.gov.br/sdleg-getter/documento?dm=8918224
